"","actv_ace","actv_cello","actv_gluco","actv_phos","Decom","PH","WSA","dissim","P","C","L","N","A","I","SU","FU","H","M","S","D","remark","Lv"
"84",0.182265,0.29232,1.128825,1.641255,0.68769,6.15,0.525974026,0,0,0,0,0,0,0,0,0,0,0,0,0,"WC",0
"85",0.23229,0.132675,1.722165,1.48335,0.64049,5.69,0.601286174,0,0,0,0,1,0,0,0,0,0,0,0,0,"N",1
"86",0.3360375,0.3242925,1.062705,1.59993,0.64465,6.29,0.524115756,0,0,0,0,0,0,0,0,0,0,0,0,0,"WC",0
"87",0.4134675,0.3486525,1.217565,1.855275,0.6435,5.87,0.553333333,0,0,0,0,0,0,0,0,0,0,0,0,0,"CT",0
"88",0.0023925,0.000435,1.328055,1.26759,0.68852,5.75,0.685618729,0,0,0,0,0,0,0,0,0,0,0,0,0,"CT",0
"89",0.003915,NA,0.64554,1.61124,0.64269,5.8,0.617088608,0,0,0,0,1,0,0,0,0,0,0,0,0,"N",1
"90",0.00174,NA,1.32501,1.619505,0.67819,5.7,0.506097561,0,0,1,0,0,0,0,0,0,0,0,0,0,"C",1
"91",0.00609,NA,1.46682,1.6008,0.66453,5.84,0.594855305,0,0,0,1,0,0,0,0,0,0,0,0,0,"L",1
"92",0.0015225,0.000435,1.268895,1.56252,0.68227,5.67,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,"A",1
"93",0.0032625,NA,2.06799,2.10192,0.64745,5.61,0.521472393,0,0,0,0,0,0,0,0,0,0,0,1,0,"S",1
"94",0.0050025,0.0045675,1.44333,1.93401,0.67451,5.64,0.58125,0,0,0,0,0,0,1,0,0,0,0,0,0,"I",1
"95",NA,0.0058725,1.1049,1.50249,0.67136,5.74,0.695512821,0,0,0,0,0,0,0,0,0,1,0,0,0,"H",1
"96",0.0045675,0.0023925,1.267155,1.75392,0.58822,5.73,0.464163823,0,0,0,0,0,0,0,1,0,0,0,0,0,"SU",1
"97",NA,NA,1.792635,2.10105,0.65513,6.89,0.348214286,0,0,0,0,0,0,0,0,0,0,0,1,0,"S",1
